dataset_code,dataset_name,project_code,project_name,profile_id,profile_depth_id,monitoring_location_name,date,time_sample,depth_m,depth_bin_m,temp_c,oxygen_mg_l1,oxygen_saturation_pct,cond_us_cm1,cond_spec_us_cm1,chla_ug_l1,gear_type_code,gear_type_desc,optode,method_sample_code,method_sample_desc,qa_level,collected_by,researcher_code,researcher_name,qualifiers,comments,update_date,account,version
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 4.008 m],114 LA CB,2023-05-17,8:42:16,4.008,4,10.77,10.64,,12,16,19,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 4.25 m],114 LA CB,2023-05-17,8:43:24,4.25,4.25,10.59,10.12,,12,17,18,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-17],[114 LA CB] [2023-05-17] [Depth: 4.5 m],114 LA CB,2023-05-17,8:44:14,4.5,4.5,10.36,9.51,,12,17,23,RBR3,RBR #3 Maestro^3 Serial No 211416,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 0.01 m],114 LA CB,2023-05-30,7:42:11,0.01,0,20.9,8.69,,13.42,15,5,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 0.993 m],114 LA CB,2023-05-30,7:43:12,0.993,1,20.89,8.8,,12.99,14,6,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 1.969 m],114 LA CB,2023-05-30,7:43:59,1.969,2,20.88,8.79,,13.02,14,6,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 2.26 m],114 LA CB,2023-05-30,7:45:52,2.26,2.25,20.82,8.66,,12.89,14,7,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 2.486 m],114 LA CB,2023-05-30,7:46:31,2.486,2.5,20.69,8.56,,12.87,14,8,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 2.774 m],114 LA CB,2023-05-30,7:47:53,2.774,2.75,20.57,7.881,,13.05,14,8,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 3.025 m],114 LA CB,2023-05-30,7:49:08,3.025,3,19.84,8.41,,12.76,14,11,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
