Sample ID,Site,Date Collected,Test,Parameter,Result,Units,Rep. Limit,Instrument,Method,Analyst,Analysis Date,Order ID,Matrix,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Anions,SO4,1.74,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Mg,0.66,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,K,0.37,mg/L,0.08,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Fe,0.11,mg/L,0.02,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Ca,2.3,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Mo,0.02,mg/L,0.06,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Mn,0,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Cations,Na,0.9,mg/L,0.1,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Chla,Chla,0.26,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,DIC,DIC,370,µmol/L,1.2,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,DOC,DOC,567,µmol/L,24,Elementar Enviro-TOC,ELA-DOC,bcooney,07-18-2024 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,NH3,NH3-N,0,µg/L,3.8,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,NO2,NO2-N,0.3,µg/L,0.17,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,NO3,NO3-N,88,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Part C/N,Part N,23.9,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Part C/N,Part C,306.6,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,Part P,Part P,6,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,jthoroski,10-25-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,pH,pH,6.31,SU,,Fisher Scientific Accumet pH meter,ELA-pH,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,SRSi,SRSi,3.877,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,10-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,TDN,TDN,282,µg/L,4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-07,239 LA CB 25m,03-13-2023,TDP,TDP,2.8,µg/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,A254,48.1327,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,E2:E3,4.9286,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,E2:E4,17.25,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,S275-295,0.0159,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,S350-400,0.0177,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,SR,0.9022,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Absorbance scan,SUVA,0.0864,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Alk,Alk,240.5,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Anions,Cl,0.25,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Anions,SO4,1.68,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Na,0.92,mg/L,0.1,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Mn,0.11,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Mo,0.02,mg/L,0.06,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Ca,2.12,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Fe,0.42,mg/L,0.02,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,K,0.38,mg/L,0.08,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Cations,Mg,0.68,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Chla,Chla,0.4,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,DIC,DIC,497,µmol/L,1.2,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,DOC,DOC,557,µmol/L,24,Elementar Enviro-TOC,ELA-DOC,bcooney,07-18-2024 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,NH3,NH3-N,16,µg/L,3.8,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,NO2,NO2-N,0.6,µg/L,0.17,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,NO3,NO3-N,66,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Part C/N,Part N,56.7,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Part C/N,Part C,752,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,Part P,Part P,12,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,jthoroski,10-25-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,pH,pH,6.13,SU,,Fisher Scientific Accumet pH meter,ELA-pH,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,SRSi,SRSi,4.674,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,10-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,TDN,TDN,293,µg/L,4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-08,239 LA CB 30m,03-13-2023,TDP,TDP,6.1,µg/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,SUVA,0.0747,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,SR,0.9818,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,S350-400,0.0192,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,S275-295,0.0188,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,E2:E4,24,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,E2:E3,6.4,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Absorbance scan,A254,44.4479,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,shavens,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Alk,Alk,188.6,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Anions,Cl,0.24,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Anions,SO4,1.72,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Mg,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,K,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Fe,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Ca,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Mo,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Mn,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Cations,Na,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Chla,Chla,0.17,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,DIC,DIC,258,µmol/L,1.2,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,DOC,DOC,595,µmol/L,24,Elementar Enviro-TOC,ELA-DOC,bcooney,07-18-2024 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,NH3,NH3-N,1,µg/L,3.8,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,NO2,NO2-N,0.3,µg/L,0.17,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,NO3,NO3-N,73,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Part C/N,Part N,14.3,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Part C/N,Part C,192.8,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,Part P,Part P,4,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,jthoroski,10-25-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,pH,pH,6.6,SU,,Fisher Scientific Accumet pH meter,ELA-pH,shavens,03-13-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,SRSi,SRSi,3.47,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,10-27-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,TDN,TDN,280,µg/L,4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031202-11,239 LA CB 10m,03-13-2023,TDP,TDP,1.8,µg/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031202,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Alk,Alk,164.4,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,03-13-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Anions,Cl,0.15,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Anions,SO4,0.42,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Na,0.42,mg/L,0.1,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Mn,0.01,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Mo,0.01,mg/L,0.06,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Ca,1.32,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Fe,0.05,mg/L,0.02,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,K,0.28,mg/L,0.08,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Cations,Mg,0.38,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Chla,Chla,6.02,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-27-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,DIC,DIC,438,µmol/L,1.2,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,shavens,03-13-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,DOC,DOC,540,µmol/L,24,Elementar Enviro-TOC,ELA-DOC,bcooney,07-18-2024 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,NH3,NH3-N,664,µg/L,3.8,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,NO2,NO2-N,0.5,µg/L,0.17,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,NO3,NO3-N,11,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Part C/N,Part N,59.2,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Part C/N,Part C,570,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,Part P,Part P,11,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,jthoroski,10-25-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,pH,pH,6.18,SU,,Fisher Scientific Accumet pH meter,ELA-pH,shavens,03-13-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,SRSi,SRSi,0.528,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,10-27-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,TDN,TDN,988,µg/L,4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031204,Lake Water,,,,
2023031204-01,114 LA CB 1m,03-13-2023,TDP,TDP,1.5,µg/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031204,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Alk,Alk,144.7,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,03-13-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Anions,Cl,0.13,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Anions,SO4,1.14,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Ca,1.57,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Na,0.48,mg/L,0.1,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Mo,0.01,mg/L,0.06,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Mn,0.03,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Mg,0.37,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,K,0.21,mg/L,0.08,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Cations,Fe,0.03,mg/L,0.02,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Chla,Chla,0.58,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-27-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,DIC,DIC,281,µmol/L,1.2,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,shavens,03-13-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,DOC,DOC,654,µmol/L,24,Elementar Enviro-TOC,ELA-DOC,bcooney,07-18-2024 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,NH3,NH3-N,329,µg/L,3.8,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,NO2,NO2-N,3.1,µg/L,0.17,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,NO3,NO3-N,92,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,03-14-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Part C/N,Part N,34.7,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Part C/N,Part C,410.4,µg/L,10,Exeter CE 440 Elemental Analyzer,UA-C/N,BASL - UAlberta,02-21-2024 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Part Fe,Part Fe,95,µg/L,36,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-PartFe,bcooney,06-17-2025 22:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,Part P,Part P,11,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,jthoroski,10-25-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,pH,pH,6.21,SU,,Fisher Scientific Accumet pH meter,ELA-pH,shavens,03-13-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,TDN,TDN,787,µg/L,4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031302,Lake Water,,,,
2023031302-01,303 LA CB 1m,03-13-2023,TDP,TDP,1.8,µg/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,03-16-2023 00:00,2023031302,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Alk,Alk,82.3,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,03-13-2023 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Anions,Cl,0.16,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Anions,SO4,0.82,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Cations,Ca,1.15,mg/L,0.03,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Cations,Mo,0.01,mg/L,0.06,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Cations,Na,0.49,mg/L,0.1,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Cations,Fe,0.23,mg/L,0.02,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031303,Lake Water,,,,
2023031303-01,304 LA CB 1m,03-13-2023,Cations,K,0.18,mg/L,0.08,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,shavens,08-26-2025 00:00,2023031303,Lake Water,,,,
