date,sample_id,station,type,target_depth,Fe2+ (mg/L),notes
2024-06-24,L303_2.7_0.5_R2,,0.5,0.5,0.15,
2024-06-24,L303_2.7_SWI_R1,,SWI,,0.229,
2024-06-24,L303_2.7_SWI_R2,,SWI,,NA,Broken bag
2024-07-03,L303_1.1_0.5_R1,,0.5,0.5,-0.032,
2024-07-03,L303_1.1_0.5_R2,,0.5,0.5,-0.038,
2024-07-03,L303_1.1_SWI_R1,,SWI,,-0.038,
2024-07-03,L303_1.1_SWI_R2,,SWI,,-0.041,
2024-07-03,L303_1.2_0.5_R1,,0.5,0.5,-0.05,
2024-07-03,L303_1.2_0.5_R2,,0.5,0.5,-0.038,
2024-07-03,L303_1.2_SWI_R1,,SWI,,-0.044,
2024-07-03,L303_1.2_SWI_R2,,SWI,,-0.047,
2024-07-03,L303_1.3_0.5_R1,,0.5,0.5,-0.041,
2024-07-03,L303_1.3_0.5_R2,,0.5,0.5,-0.017,
2024-07-03,L303_1.3_SWI_R1,,SWI,,-0.041,
2024-07-03,L303_1.3_SWI_R2,,SWI,,-0.041,
2024-07-03,L303_1.4_0.5_R1,,0.5,0.5,-0.047,
2024-07-03,L303_1.4_0.5_R2,,0.5,0.5,-0.047,
2024-07-03,L303_1.4_SWI_R1,,SWI,,-0.05,
2024-07-03,L303_1.4_SWI_R2,,SWI,,-0.056,
2024-07-03,L303_2.1_0.5_R1,,0.5,0.5,-0.044,
2024-07-03,L303_2.1_0.5_R2,,0.5,0.5,-0.044,
2024-07-03,L303_2.1_SWI_R1,,SWI,,-0.05,
2024-07-03,L303_2.1_SWI_R2,,SWI,,NA,
2024-07-03,L303_2.2_0.5_R1,,0.5,0.5,NA,
2024-07-03,L303_2.2_0.5_R2,,0.5,0.5,NA,
2024-07-03,L303_2.2_SWI_R1,,SWI,,-0.044,
2024-07-03,L303_2.2_SWI_R2,,SWI,,-0.05,
2024-07-03,L303_2.3_0.5_R1,,0.5,0.5,NA,
2024-07-03,L303_2.3_0.5_R2,,0.5,0.5,NA,
2024-07-03,L303_2.3_SWI_R1,,SWI,,-0.05,
2024-07-03,L303_2.3_SWI_R2,,SWI,,-0.041,
2024-07-03,L303_2.4_0.5_R1,,0.5,0.5,NA,
